Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
Series C - Nscale,https://www.crunchbase.com/funding_round/nscale-series-c--84310891,Series C,2000000000,USD,2000000000,2026-03-09,Late Stage Venture,"Nscale builds AI data centers and provides GPU cloud infrastructure that companies use to train, run, and scale large AI models.",https://www.nscale.com,6,"AI Infrastructure, Artificial Intelligence (AI), Data Center, GPU, Information Technology, Internet, Telecommunications","London, England, United Kingdom, Europe","8090 Industries, Aker"
Seed Round - Advanced Machine Intelligence,https://www.crunchbase.com/funding_round/advanced-machine-intelligence-seed--a6f89d1d,Seed,1030000000,USD,1030000000,2026-03-10,Seed,Advanced Machine Intelligence develops artificial intelligence systems that model real-world environments using sensor data.,https://amilabs.xyz,1,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing","Paris, Ile-de-France, France, Europe","Bezos Expeditions, Cathay Innovation, Greycroft, Hiro Capital, HV Capital"
Series D - Qcraft,https://www.crunchbase.com/funding_round/qcraft-7238-series-d--2ede9c7b,Series D,100000000,USD,100000000,2026-03-23,Late Stage Venture,Qcraft is a self-driving startup company that develops autonomous driving solutions that enable vehicles to operate in highway environments.,http://qcraft.ai,8,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles","Beijing, Beijing, China, Asia",
Series C - ORO Labs,https://www.crunchbase.com/funding_round/oro-labs-series-c--5e5150f2,Series C,100000000,USD,100000000,2026-03-12,Late Stage Venture,ORO Labs is an AI-powered procurement orchestration platform that enhances organizational efficiency.,http://orolabs.ai,4,"Artificial Intelligence (AI), Procurement, Supply Chain Management","Palo Alto, California, United States, North America","Brighton Park Capital, Goldman Sachs Growth Equity"
Series D - Replit,https://www.crunchbase.com/funding_round/replit-series-d--d8ce1288,Series D,400000000,USD,400000000,2026-03-11,Late Stage Venture,"Replit provides a cloud-based development platform that enables users to write, run, and deploy applications in browsers.",https://replit.com,11,"Artificial Intelligence (AI), Cloud Computing, Developer Tools, Information Technology, Software","Foster City, California, United States, North America",Georgian
Series A - Eridu,https://www.crunchbase.com/funding_round/eridu-ai-series-a--240c263f,Series A,200000000,USD,200000000,2026-03-10,Early Stage Venture,"Eridu provides frontier networking solutions for AI, purpose-built to meet the demands of scale-out and scale-up networks.",https://eridu.ai,1,"AI Infrastructure, Artificial Intelligence (AI), Machine Learning, Semiconductor","Saratoga, California, United States, North America","Capricorn Investment Group, Hudson River Trading, Matter Venture Partners, Socratic Partners"
Series C - XBOW,https://www.crunchbase.com/funding_round/xbow-series-c--bccc29de,Series C,120000000,USD,120000000,2026-03-18,Late Stage Venture,XBOW develops autonomous security testing software that identifies and validates vulnerabilities in web applications and digital systems.,https://xbow.com,4,"Artificial Intelligence (AI), Computer, Network Security","Seattle, Washington, United States, North America","DFJ Growth, Northzone"
Series D - Legora,https://www.crunchbase.com/funding_round/legora-series-d--e8d0730b,Series D,550000000,USD,550000000,2026-03-10,Late Stage Venture,"Legora develops an AI software platform to support legal professionals in tasks such as document review, drafting, and legal research.",https://legora.com,6,"Artificial Intelligence (AI), Legal, Legal Tech, Software","Stockholm, Stockholms Lan, Sweden, Europe",Accel
Seed Round - Sybilion,https://www.crunchbase.com/funding_round/sybilion-seed--e15161f0,Seed,3600000,EUR,4161975,2026-03-11,Seed,Sybilion is an artificial intelligence-powered platform that provides a decision layer for companies analyzing information.,https://www.sybilion.com,2,"Artificial Intelligence (AI), Information Technology","Maia, Porto, Portugal, Europe","Semapa Next, VentureFriends"
Series C - NoTraffic,https://www.crunchbase.com/funding_round/notraffic-series-c--30cd155e,Series C,90000000,USD,90000000,2026-03-24,Late Stage Venture,NoTraffic is a mobility platform for traffic management that uses AI to optimize traffic management systems.,http://notraffic.com,6,"Artificial Intelligence (AI), Autonomous Vehicles, CleanTech, Computer Vision, Machine Learning, Public Safety, SaaS, Transportation","Palo Alto, California, United States, North America",PSG Equity
Series B - Nexthop AI,https://www.crunchbase.com/funding_round/nexthop-ai-series-b--24c969d6,Series B,500000000,USD,500000000,2026-03-10,Early Stage Venture,Nexthop AI develops networking infrastructure to support artificial intelligence workloads in large-scale cloud computing environments.,https://nexthop.ai,2,"Artificial Intelligence (AI), Cloud Data Services, IT Infrastructure","Santa Clara, California, United States, North America","Andreessen Horowitz, Lightspeed Venture Partners"
Seed Round - LittleBird,https://www.crunchbase.com/funding_round/littlebird-1c51-seed--e6ed6345,Seed,11000000,USD,11000000,2026-03-23,Seed,LittleBird develops an AI assistant that reads user screens to capture context and automate tasks.,https://littlebird.ai/,1,"Artificial Intelligence (AI), Machine Learning, Productivity Tools","San Francisco, California, United States, North America",Lotus Studio
Seed Round - Interloom Technologies,https://www.crunchbase.com/funding_round/interloom-technologies-seed--18794b24,Seed,16500000,USD,16500000,2026-03-19,Seed,Interloom Technologies redefines process automation for an AI future.,https://interloom.io/,2,"Artificial Intelligence (AI), Software","München, Bayern, Germany, Europe",DN Capital
Seed Round - Manifold,https://www.crunchbase.com/funding_round/manifold-e13b-seed--16be9e6a,Seed,8000000,USD,8000000,2026-03-18,Seed,Manifold Security provides runtime visibility and protection for autonomous AI agents operating on enterprise endpoints.,https://www.manifold.security,1,"Artificial Intelligence (AI), Developer Platform, Industrial Engineering","San Diego, California, United States, North America",Costanoa Ventures
Series B - Qualified Health,https://www.crunchbase.com/funding_round/qualified-health-series-b--5f1ffd51,Series B,125000000,USD,125000000,2026-03-25,Early Stage Venture,Qualified Health develops artificial intelligence tools that support clinical decision-making and patient care management.,https://www.qualifiedhealthai.com,3,"Artificial Intelligence (AI), Health Care, Medical","San Carlos, California, United States, North America",New Enterprise Associates
Series G - Shield AI,https://www.crunchbase.com/funding_round/shield-ai-series-g--51751453,Series G,2000000000,USD,2000000000,2026-03-26,Late Stage Venture,Shield AI is a deep-tech company that focuses on developing AI-powered systems to enhance the safety of service members and civilians.,http://www.shield.ai,17,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","San Diego, California, United States, North America","Advent International, JP Morgan Chase"
Venture Round - Waiv,https://www.crunchbase.com/funding_round/owkin-2-series-unknown--d2ae0d8b,Venture - Series Unknown,33000000,USD,33000000,2026-03-12,,Waiv is an AI precision medicine company with a vision to find the right drug for every patient.,https://wearewaiv.com/,9,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Machine Learning, Pharmaceutical, Precision Medicine","New York, New York, United States, North America","Alpha Intelligence Capital, OTB Ventures"
Series A - Rivia,https://www.crunchbase.com/funding_round/rivia-5c64-series-a--855a4537,Series A,13000000,EUR,14956041,2026-03-18,Early Stage Venture,Rivia is a next-gen operating system for improved trial outcomes.,https://www.rivia.ch,2,"Artificial Intelligence (AI), Clinical Trials, Software","Zürich, Zurich, Switzerland, Europe",Earlybird Venture Capital
Series C - Granola,https://www.crunchbase.com/funding_round/granola-series-c--fdd716ec,Series C,125000000,USD,125000000,2026-03-25,Late Stage Venture,"Granola is an AI notepad that transcribes, summarizes, and organizes conversations into structured notes.",https://www.granola.ai,4,"Artificial Intelligence (AI), Information Technology, Meeting Software, SaaS, Software","London, England, United Kingdom, Europe",Index Ventures
Seed Round - eternal.ag,https://www.crunchbase.com/funding_round/eternal-ag-seed--9fa26116,Seed,8000000,EUR,9266950,2026-03-19,Seed,eternal.ag develops robotics and AI solutions for greenhouse farming.,https://eternal.ag,1,"Artificial Intelligence (AI), Robotics","Cologne, Nordrhein-Westfalen, Germany, Europe",
Series C - AIsphere,https://www.crunchbase.com/funding_round/aisphere-series-c--ce22b32a,Series C,300000000,USD,300000000,2026-03-12,Late Stage Venture,AIsphere develops artificial intelligence software focused on generative video technology and digital media creation tools.,https://aisphere.tech,9,"Artificial Intelligence (AI), Computer Vision, Service Industry, Video","Beijing, Beijing, China, Asia",CDH Investments
Series D - Oxa,https://www.crunchbase.com/funding_round/oxbotica-ltd-series-d--d7e92fc4,Series D,77000000,GBP,102606197,2026-03-04,Late Stage Venture,Oxa develops autonomous vehicle software and hardware solutions for industrial mobility automation.,https://oxa.tech,9,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Insurance, InsurTech, Software","Oxford, Oxfordshire, United Kingdom, Europe",National Wealth Fund
Series A - Rhoda AI,https://www.crunchbase.com/funding_round/rhoda-ai-series-a--5c8af71d,Series A,450000000,USD,450000000,2026-03-10,Early Stage Venture,Rhoda AI is a tech company that develops a class of robot foundation models designed to bring general intelligence into the physical world.,https://www.rhoda.ai/,1,"Artificial Intelligence (AI), Business Intelligence, Foundational AI, Intelligent Systems, Real Time, Robotics","Palo Alto, California, United States, North America",Premji Invest
Seed Round - VerbaFlo,https://www.crunchbase.com/funding_round/verbaflo-seed--ef17319a,Seed,7000000,USD,7000000,2026-03-18,Seed,VerbaFlo develops software for managing AI-powered voice and chat interactions.,https://www.verbaflo.ai,2,"Artificial Intelligence (AI), CRM, Generative AI","Hertford, Hertford, United Kingdom, Europe",Pi Labs
Seed Round - Zalos,https://www.crunchbase.com/funding_round/zalos-seed--f4c11cfe,Seed,3600000,USD,3600000,2026-03-24,Seed,"Zalos creates AI tools that automate finance tasks, handle invoices, manage payments, and integrate with accounting systems.",https://www.zalos.ai,2,"Accounting, Artificial Intelligence (AI), Enterprise, Finance, Payments, Software","San Francisco, California, United States, North America",14Peaks Capital
Series A - Highlight,https://www.crunchbase.com/funding_round/highlight-5d80-series-a--56aa95fc,Series A,40000000,USD,40000000,2026-03-24,Early Stage Venture,Highlight provides AI-powered productivity tools designed to integrate across desktop applications and workflows.,https://highlightai.com,2,"Artificial Intelligence (AI), Assistive Technology, Virtual Assistant","Irvine, California, United States, North America",Khosla Ventures
Series B - Dash0,https://www.crunchbase.com/funding_round/dash0-series-b--244a93d3,Series B,110000000,USD,110000000,2026-03-23,Early Stage Venture,"Dash0 is an OpenTelemetry-native observability platform for collecting, transmitting, and analyzing distributed system data.",https://www.dash0.com,3,"Agentic AI, Information Technology, IT Infrastructure, Software","New York, New York, United States, North America",Balderton Capital
Series B - Gumloop,https://www.crunchbase.com/funding_round/gumloop-series-b--6dee119c,Series B,50000000,USD,50000000,2026-03-12,Early Stage Venture,Gumloop is a no-code platform that allows non-technical teams to build and host their own AI-powered business automations.,https://www.gumloop.com,3,"Agentic AI, Artificial Intelligence (AI), Information Technology, SEO","Vancouver, British Columbia, Canada, North America",Benchmark
Series A - Worth AI,https://www.crunchbase.com/funding_round/worth-ai-series-a--647f937f,Series A,30000000,USD,30000000,2026-03-24,Early Stage Venture,"Worth AI is a fintech platform that focuses on SMB onboarding and risk management, using AI algorithms to streamline financial processes.",https://worthai.com,5,"Artificial Intelligence (AI), Business Intelligence, Financial Services, FinTech, Risk Management","Orlando, Florida, United States, North America",Fulcrum Equity Partners
Series A - Translucent AI,https://www.crunchbase.com/funding_round/translucent-ai-series-a--e414d42b,Series A,27000000,USD,27000000,2026-03-11,Early Stage Venture,Translucent AI develops an AI-powered financial platform tailored for healthcare operators.,https://www.translucent.co/,2,"Artificial Intelligence (AI), Financial Services, Health Care","New York, New York, United States, North America",Google Ventures
Series A - Deeptune,https://www.crunchbase.com/funding_round/deeptune-6c1e-series-a--ca48ee8e,Series A,43000000,USD,43000000,2026-03-19,Early Stage Venture,Training gyms for AI agents,https://deeptune.ai,3,"Artificial Intelligence (AI), Software","New York, New York, United States, North America",Andreessen Horowitz
