Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors
Series C - Waabi,https://www.crunchbase.com/funding_round/waabi-series-c--9d3fc104,Series C,750000000,USD,750000000,2026-01-28,Late Stage Venture,Waabi develops autonomous driving technology and physical artificial intelligence systems for the transportation sector.,https://waabi.ai,4,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning","Toronto, Ontario, Canada, North America","G2 Venture Partners, Khosla Ventures"
Series E - xAI,https://www.crunchbase.com/funding_round/xai-series-e--57814e0e,Series E,20000000000,USD,20000000000,2026-01-06,Late Stage Venture,XAI is an artificial intelligence startup that develops AI solutions and tools to enhance reasoning and search capabilities.,https://x.ai,9,"Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States, North America",Valor Equity Partners
Series B - Emergent,https://www.crunchbase.com/funding_round/emergent-02ef-series-b--f58fdbc3,Series B,70000000,USD,70000000,2026-01-20,Early Stage Venture,Emergent is an AI-powered software creation platform that enables users to build full-stack web and mobile applications.,https://app.emergent.sh,4,"Artificial Intelligence (AI), Developer Platform, Software","Pleasanton, California, United States, North America","Khosla Ventures, SoftBank Vision Fund"
Series D - Torq,https://www.crunchbase.com/funding_round/torq-technologies-series-d--737199d9,Series D,140000000,USD,140000000,2026-01-11,Late Stage Venture,Torq is an AI-first no-code automation platform that unifies and automates workflows and processes across modern enterprise security.,https://torq.io,7,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Software","Tel Aviv, Tel Aviv, Israel, Asia",Merlin Ventures
Series C - Deepgram,https://www.crunchbase.com/funding_round/deepgram-series-c--69109cc6,Series C,143168046,USD,143168046,2026-01-13,Late Stage Venture,"Deepgram provides a voice artificial intelligence platform for speech-to-text, text-to-speech, and voice applications.",https://deepgram.com,9,"Artificial Intelligence (AI), Data Collection and Labeling, Developer APIs, Natural Language Processing, Speech Recognition","San Francisco, California, United States, North America",AVP
Series B - Outtake,https://www.crunchbase.com/funding_round/outtake-series-b--80cde4c5,Series B,40000000,USD,40000000,2026-01-28,Early Stage Venture,"Outtake is a digital trust platform automating threat classification, detection, and response to enhance enterprise cybersecurity measures.",https://www.outtake.ai,2,"Artificial Intelligence (AI), Cyber Security, Machine Learning","Brooklyn, New York, United States, North America",ICONIQ Capital
Series A - Neurophos,https://www.crunchbase.com/funding_round/neurophos-series-a--72825b78,Series A,110000000,USD,110000000,2026-01-22,Early Stage Venture,Neurophos develops photonic AI processing technology that focuses on hardware solutions for accelerating artificial intelligence inference.,https://www.neurophos.com,5,"Artificial Intelligence (AI), Data Center, Hardware","Austin, Texas, United States, North America",Gates Frontier Fund
Series D - ClickHouse,https://www.crunchbase.com/funding_round/clickhouse-series-d--62e4ee67,Series D,400000000,USD,400000000,2026-01-16,Late Stage Venture,ClickHouse provides an open-source database system for real-time analytical reporting.,https://clickhouse.com,7,"Analytics, Artificial Intelligence (AI), Big Data, Database, Software","Mountain View, California, United States, North America",Dragoneer Investment Group
Series B - Zocks,https://www.crunchbase.com/funding_round/zocks-series-b--52df2da4,Series B,45000000,USD,45000000,2026-01-26,Early Stage Venture,Zocks is an AI-powered assistant specifically for financial advisors that automate routine tasks and capture client insights.,https://zocks.io/,3,"Artificial Intelligence (AI), Enterprise Software, Financial Services, Software","San Francisco, California, United States, North America","Lightspeed Venture Partners, QED Investors"
Series C - Skild AI,https://www.crunchbase.com/funding_round/skild-ai-series-c--07950a49,Series C,1400000000,USD,1400000000,2026-01-14,Late Stage Venture,Skild AI develops artificial intelligence systems that enable robots to act in physical environments.,https://www.skild.ai,3,"Artificial Intelligence (AI), Information Technology, Robotics","Pittsburgh, Pennsylvania, United States, North America",SoftBank Group
